listing_id,host_id,location_id,room_type_id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
4462008,16286162,6098,1,47,2,97,1.81,262
4462491,302529,6099,2,175,3,2,0.05,0
4462553,15778416,6100,2,175,1,0,0,0
4464418,6526979,6101,2,165,2,9,0.16,0
4464508,23162890,6102,1,79,3,35,0.62,336
4467771,23178728,6103,2,345,7,95,1.7,13
4469264,10304755,6104,1,80,2,108,1.93,4
4469650,23189353,6105,2,300,4,143,2.56,204
4469679,19336493,6106,2,325,4,0,0,0
4470423,5838331,6107,2,249,1,0,0,0
4471513,3740730,6108,2,699,6,186,3.27,254
4472904,1532337,6109,1,25,30,6,0.17,219
4472978,5800619,6110,2,195,1,136,2.94,203
4473156,23208658,6111,2,165,2,146,2.6,277
4475128,16066343,6112,1,65,2,219,3.88,35
4476605,23226529,6113,2,550,4,0,0,0
4476945,23228839,6114,2,149,3,28,0.5,329
4479556,23243453,6115,2,225,1,1,0.02,0
4479625,2380912,6116,2,135,2,0,0,0
4479632,20431437,6117,2,495,30,159,2.83,129
4480308,5152761,6118,2,200,2,23,0.41,0
4480793,23249630,6119,2,125,3,24,0.44,69
4481427,1816417,6120,2,95,4,44,0.81,271
4481474,23249630,6121,2,135,3,15,0.27,89
4481694,567972,6122,2,120,3,4,0.08,157
4482158,23256032,6123,2,160,14,1,0.02,36
4482584,304346,6124,2,225,2,0,0,0
4482783,1869332,6125,1,139,2,6,0.12,36
4483117,23159248,6126,1,69,2,11,0.19,240
4483517,1633246,6127,1,100,30,2,0.04,7
4483672,17065184,6128,1,71,3,211,3.72,6
4484212,21938150,6129,1,250,1,4,0.08,365
4484620,2589436,6130,1,70,2,15,0.29,0
4484899,8713930,6131,2,225,1,0,0,0
4485286,14138135,6132,2,170,1,2,0.04,0
4488882,23287601,6133,2,125,3,2,0.05,161
4490268,23293704,6134,2,139,2,190,4.15,218
4491140,15823911,6135,1,69,1,0,0,0
4492303,7567309,6136,2,199,2,19,0.35,0
4492678,18601618,6137,2,175,1,2,0.04,0
4492821,743716,6138,2,120,3,3,0.05,0
4493474,5777821,6139,1,100,5,2,0.04,0
4493526,23308381,6140,1,150,1,0,0,0
4493658,1869421,6141,2,100,8,14,0.25,0
4494217,22720650,6142,2,130,30,1,0.15,0
4494588,23314412,6143,2,150,5,0,0,0
4494705,11228023,6144,1,50,30,2,0.04,0
4497294,22831759,6145,1,80,2,11,0.19,0
4497963,10225905,6146,2,250,2,0,0,0
4498688,12881527,6147,2,227,1,17,0.31,362
4498927,23334165,6148,2,300,5,91,1.65,288
4499097,23334541,6149,2,130,2,17,0.37,2
4499976,23338742,6150,2,225,30,17,0.31,179
